T_start,cooling_rate,average_cost,average_time_ms
100000,0.999,150,42.5333
100000,0.995,150,7.6
100000,0.99,150,3.63333
100000,0.95,150,0
100000,0.9,150,0
75000,0.999,150,42.2
75000,0.995,150,7.6
75000,0.99,150,3.3
75000,0.95,150,0
75000,0.9,150,0
50000,0.999,150,42.0333
50000,0.995,150,7.36667
50000,0.99,150,3.43333
50000,0.95,150,0
50000,0.9,150,0.0666667
25000,0.999,150,41.8667
25000,0.995,150,7.16667
25000,0.99,150,3.16667
25000,0.95,150,0
25000,0.9,150,0
10000,0.999,150,37.7667
10000,0.995,150,7.1
10000,0.99,150,3
10000,0.95,150,0.0333333
10000,0.9,150,0.0666667
